CustomerID,Age,Gender,Income,Tenure,ProductType,SupportCalls,ChurnStatus
CUST0000,0.8913043478260869,0,1.0,0.375,0,0.0,0
CUST0001,1.0,0,0.23583574954940836,0.625,1,0.5833333333333334,0
CUST0002,0.5434782608695652,1,1.0,0.125,0,0.75,0
CUST0003,0.2391304347826087,1,0.7718830812632239,0.0,1,0.9166666666666666,0
CUST0004,0.8913043478260869,0,0.6559743663418924,0.375,1,0.25,0
CUST0005,0.13043478260869565,1,0.5541711290477062,0.75,1,0.9166666666666666,0
CUST0006,0.3695652173913043,1,0.7718830812632239,0.625,0,0.25,0
CUST0007,0.7608695652173914,1,0.0,0.0,0,0.25,1
CUST0008,0.3695652173913043,0,0.3514571306672239,0.0,0,0.4166666666666667,0
CUST0009,0.3695652173913043,1,0.7718830812632239,0.875,0,1.0,0
CUST0010,0.13043478260869565,0,0.23583574954940836,0.375,0,0.0,0
CUST0011,0.13043478260869565,0,0.7718830812632239,0.5,0,0.25,0
CUST0012,0.4782608695652174,1,0.6559743663418924,0.5,0,0.0,0
CUST0013,0.6521739130434783,1,0.0,0.875,0,0.0,0
CUST0014,0.7608695652173914,1,0.48669557418871734,0.75,0,1.0,0
CUST0015,0.4782608695652174,0,0.11512072373290146,0.125,1,0.5833333333333334,1
CUST0016,0.0,1,0.0,0.375,0,0.25,0
CUST0017,0.3695652173913043,1,0.48669557418871734,0.0,0,0.5833333333333334,0
CUST0018,0.0,1,0.48669557418871734,1.0,0,0.5,0
CUST0019,0.4782608695652174,0,0.884552760581285,0.25,1,0.5833333333333334,0
CUST0020,0.8913043478260869,1,0.7718830812632239,0.25,0,0.25,0
CUST0021,0.5434782608695652,0,0.23583574954940836,1.0,0,0.9166666666666666,0
CUST0022,0.7608695652173914,0,0.48669557418871734,0.25,0,0.0,0
CUST0023,0.0,1,0.48669557418871734,0.875,0,0.5833333333333334,0
CUST0024,0.3695652173913043,0,0.6559743663418924,0.125,0,0.25,0
CUST0025,0.6521739130434783,1,0.5541711290477062,0.25,1,1.0,0
CUST0026,0.4782608695652174,0,0.0,0.125,1,0.5833333333333334,1
CUST0027,0.3695652173913043,0,0.11512072373290146,0.0,1,0.4166666666666667,1
CUST0028,0.8913043478260869,0,0.6559743663418924,0.125,1,0.5,0
CUST0029,0.4782608695652174,1,0.5541711290477062,0.875,0,0.4166666666666667,0
CUST0030,1.0,1,0.0,1.0,1,1.0,0
CUST0031,0.5434782608695652,1,0.3514571306672239,0.125,0,0.0,0
CUST0032,0.8913043478260869,1,0.5541711290477062,0.75,0,0.4166666666666667,0
CUST0033,0.5434782608695652,1,0.48669557418871734,0.5,0,0.0,0
CUST0034,0.2391304347826087,1,0.3514571306672239,0.25,0,0.4166666666666667,0
CUST0035,0.2391304347826087,1,0.7718830812632239,1.0,0,0.4166666666666667,0
CUST0036,0.8913043478260869,1,0.48669557418871734,0.625,0,0.5,0
CUST0037,1.0,0,0.48669557418871734,0.0,0,0.3333333333333333,0
CUST0038,0.8913043478260869,1,0.0,0.5,1,0.0,0
CUST0039,1.0,1,0.11512072373290146,0.5,0,0.5833333333333334,0
CUST0040,0.4782608695652174,1,0.3514571306672239,0.375,0,1.0,0
CUST0041,0.7608695652173914,1,0.3514571306672239,0.875,1,0.5,0
CUST0042,1.0,0,0.7718830812632239,0.5,0,0.0,0
CUST0043,0.13043478260869565,1,0.3514571306672239,1.0,1,1.0,0
CUST0044,0.3695652173913043,0,0.23583574954940836,1.0,0,0.0,0
CUST0045,0.13043478260869565,0,0.23583574954940836,1.0,1,0.0,0
CUST0046,0.7608695652173914,0,1.0,0.5,0,0.5833333333333334,0
CUST0047,0.3695652173913043,0,0.7718830812632239,0.125,0,1.0,0
CUST0048,0.0,0,0.7718830812632239,0.25,0,0.0,0
CUST0049,0.4782608695652174,0,1.0,0.375,0,0.0,0
CUST0050,0.2391304347826087,0,0.7718830812632239,1.0,1,1.0,0
CUST0051,1.0,0,0.5541711290477062,0.625,0,0.0,0
CUST0052,0.4782608695652174,0,0.6559743663418924,0.0,0,0.4166666666666667,0
CUST0053,0.4782608695652174,0,0.23583574954940836,1.0,0,0.4166666666666667,0
CUST0054,0.0,0,0.884552760581285,0.625,1,0.0,0
CUST0055,0.3695652173913043,1,0.7718830812632239,0.375,0,0.0,0
CUST0056,0.5434782608695652,1,0.11512072373290146,0.375,1,0.0,0
CUST0057,0.8913043478260869,1,1.0,0.25,0,0.0,0
CUST0058,0.13043478260869565,1,0.48669557418871734,0.5,0,0.0,0
CUST0059,0.8913043478260869,1,0.3514571306672239,0.25,0,0.0,0
CUST0060,0.13043478260869565,1,0.11512072373290146,0.125,1,0.25,1
CUST0061,0.8913043478260869,0,0.11512072373290146,0.875,1,0.0,0
